code,code_name,ipoDate,outDate,type,status
of.159805,鹏华中证传媒ETF,2020-03-06,,5,1
of.159806,国泰中证新能源汽车ETF,2020-03-10,,5,1
of.159807,易方达中证科技50ETF,2020-03-16,,5,1
of.159808,融通创业板ETF,2020-08-05,,5,1
of.159810,浦银安盛创业板ETF,2020-06-12,,5,1
of.159811,博时中证5G产业50ETF,2020-03-27,,5,1
of.159812,前海开源黄金ETF,2020-04-29,,5,1
of.159813,鹏华国证半导体芯片ETF,2020-04-17,,5,1
of.159814,西部利得创业板大盘ETF,2020-06-19,,5,1
of.159815,招商中证浙江100ETF,2020-08-03,,5,1
of.159816,鹏华中证0-4年地方政府债ETF,2020-07-30,,5,1
of.159819,易方达中证人工智能主题ETF,2020-07-27,,5,1
of.159820,天弘中证500ETF,2020-08-07,,5,1
of.159821,中银证券创业板ETF,2020-09-29,,5,1
of.159822,银华工银南方东英标普中国新经济行业ETF(QDII),2020-09-29,,5,1
of.159823,嘉实H股50ETF(QDII),2020-09-24,2024-08-19,5,0
of.159824,博时新能源汽车ETF,2020-12-10,,5,1
of.159825,富国中证农业主题ETF,2020-12-10,,5,1
of.159827,银华中证农业主题ETF,2020-12-10,,5,1
of.159828,国泰中证医疗ETF,2020-12-24,,5,1
of.159830,天弘上海金ETF,2021-07-06,,5,1
of.159831,嘉实上海金ETF,2022-03-23,,5,1
of.159832,平安上海金ETF,2022-03-02,,5,1
of.159833,大成上海金ETF,2022-03-18,,5,1
of.159834,南方上海金ETF,2022-03-03,,5,1
of.159835,建信中证创新药产业ETF,2021-03-11,,5,1
of.159836,天弘创业板300ETF,2021-05-11,,5,1
of.159837,易方达中证生物科技主题ETF,2021-01-14,,5,1
of.159838,博时医药50ETF,2021-07-22,,5,1
of.159839,汇添富国证生物医药ETF,2021-02-01,,5,1
of.159840,工银瑞信国证新能源车电池ETF,2021-08-05,,5,1
of.159841,天弘中证全指证券公司ETF,2021-01-28,,5,1
of.159842,银华中证全指证券公司ETF,2021-03-03,,5,1
of.159843,招商国证食品饮料ETF,2021-01-25,,5,1
of.159845,华夏中证1000ETF,2021-03-18,,5,1
of.159847,易方达中证医疗ETF,2021-07-08,,5,1
of.159848,国联安中证全指证券公司ETF,2021-02-09,,5,1
of.159849,招商中证生物科技主题ETF,2021-02-08,,5,1
of.159850,华夏恒生中国企业ETF(QDII),2021-02-01,,5,1
of.159851,华宝中证金融科技主题ETF,2021-03-04,,5,1
of.159852,嘉实中证软件服务ETF,2021-01-29,,5,1
of.159853,南方中证科技100ETF,2021-09-29,,5,1
of.159855,银华中证影视主题ETF,2021-02-09,,5,1
of.159856,工银瑞信中证沪港深互联网ETF,2021-01-22,,5,1
of.159857,天弘中证光伏产业ETF,2021-02-04,,5,1
of.159858,南方中证创新药产业ETF,2021-03-12,,5,1
of.159859,天弘国证生物医药ETF,2021-06-24,,5,1
of.159861,国泰中证环保产业50ETF,2021-03-19,,5,1
of.159862,银华中证细分食品饮料产业主题ETF,2021-10-26,,5,1
of.159863,鹏华中证光伏产业ETF,2021-02-22,,5,1
of.159864,国泰中证光伏产业ETF,2021-07-28,,5,1
of.159865,国泰中证畜牧养殖ETF,2021-03-01,,5,1
of.159866,工银瑞信大和日经225ETF(QDII),2021-03-24,,5,1
of.159867,鹏华中证畜牧养殖ETF,2021-02-25,,5,1
of.159869,华夏中证动漫游戏ETF,2021-02-25,,5,1
of.159870,鹏华中证细分化工产业ETF,2021-02-23,,5,1
of.159871,银华中证有色金属ETF,2021-03-10,,5,1
of.159872,鹏华中证车联网主题ETF,2021-06-16,,5,1
of.159873,天弘中证全指医疗保健设备与服务ETF,2021-03-16,,5,1
of.159875,嘉实中证新能源ETF,2021-08-09,,5,1
of.159876,华宝有色金属ETF,2021-03-12,,5,1
of.159877,南方中证全指医疗保健设备与服务ETF,2021-10-22,,5,1
of.159880,鹏华国证有色金属行业ETF,2021-03-08,,5,1
of.159881,国泰中证有色金属ETF,2021-06-17,,5,1
of.159883,永赢中证全指医疗器械ETF,2021-04-22,,5,1
of.159885,鹏华中证内地低碳经济主题ETF,2021-04-06,,5,1
of.159886,富国中证细分机械设备产业主题ETF,2021-04-15,,5,1
of.159887,富国中证800银行ETF,2021-05-12,,5,1
of.159888,华夏中证智能汽车主题ETF,2021-05-13,,5,1
of.159889,国泰中证智能汽车主题ETF,2021-09-01,,5,1
of.159890,招商中证云计算ETF,2021-03-25,,5,1
of.159891,建信中证全指医疗保健设备与服务ETF,2021-05-27,,5,1
of.159892,华夏恒生生物科技ETF(QDII),2021-09-29,,5,1
of.159895,易方达中证物联网主题ETF,2021-10-13,,5,1
of.159896,南方中证物联网主题ETF,2021-11-15,,5,1
of.159897,建信中证物联网主题ETF,2021-06-03,,5,1
of.159898,招商中证全指医疗器械ETF,2021-05-27,,5,1
of.159899,招商中证全指软件ETF,2021-06-18,,5,1
of.159901,易方达深证100ETF,2006-03-24,,5,1
of.159902,华夏中小企业100ETF,2006-06-08,,5,1
of.159903,南方深证成份ETF,2009-12-04,,5,1
of.159905,工银深证红利ETF,2010-11-05,,5,1
of.159906,大成深证成长40ETF,2010-12-21,,5,1
of.159907,广发国证2000ETF,2011-06-03,,5,1
of.159908,博时创业板ETF,2011-06-10,,5,1
of.159909,招商深证TMT50ETF,2011-06-27,,5,1
of.159910,嘉实深证基本面120ETF,2011-08-01,,5,1
of.159912,汇添富深证300ETF,2011-09-16,,5,1
of.159913,交银深证300价值ETF,2011-09-22,,5,1
of.159915,易方达创业板ETF,2011-09-20,,5,1
of.159916,建信深证基本面60ETF,2011-09-08,,5,1
of.159918,嘉实中创400ETF,2012-03-22,,5,1
of.159919,嘉实沪深300ETF,2012-05-07,,5,1
of.159920,华夏恒生ETF(QDII),2012-08-09,,5,1
of.159922,嘉实中证500ETF,2013-02-06,,5,1
of.159923,大成中证A100ETF,2013-02-07,,5,1
of.159925,南方沪深300ETF,2013-02-18,,5,1
of.159926,嘉实中证中期国债ETF,2013-05-10,,5,1
of.159928,汇添富中证主要消费ETF,2013-08-23,,5,1
of.159929,汇添富中证医药卫生ETF,2013-08-23,,5,1
of.159930,汇添富中证能源ETF,2013-08-23,,5,1
of.159931,汇添富中证金融地产ETF,2013-08-23,,5,1
of.159932,大成中证500深市ETF,2013-09-12,,5,1
of.159933,国投瑞银金融地产ETF,2013-09-17,,5,1
of.159934,易方达黄金ETF,2013-11-29,,5,1
of.159935,景顺长城中证500ETF,2013-12-26,,5,1
of.159936,广发中证全指可选消费ETF,2014-06-03,,5,1
of.159937,博时黄金ETF,2014-08-13,,5,1
of.159938,广发中证全指医药卫生ETF,2014-12-01,,5,1
of.159939,广发中证全指信息技术ETF,2015-01-08,,5,1
of.159940,广发中证全指金融地产ETF,2015-03-23,,5,1
of.159941,广发纳指100ETF,2015-06-10,,5,1
of.159943,大成深证成份ETF,2015-06-05,,5,1
of.159944,广发中证全指原材料ETF,2015-06-25,,5,1
of.159945,广发中证全指能源ETF,2015-06-25,,5,1
of.159948,南方创业板ETF,2016-05-13,,5,1
of.159949,华安创业板50ETF,2016-06-30,,5,1
of.159951,嘉实中关村A股ETF,2017-06-07,,5,1
of.159952,广发创业板ETF,2017-04-25,,5,1
of.159954,南方恒生中国企业ETF,2018-02-08,,5,1
of.159955,嘉实创业板ETF,2017-07-14,,5,1
of.159956,建信创业板ETF,2018-02-06,,5,1
